
com.simplemobiletools.calendar.pro.activities.WidgetDateConfigureActivity -> com.simplemobiletools.calendar.pro.helpers.MyWidgetDateProvider

com.simplemobiletools.calendar.pro.activities.SplashActivity -> com.simplemobiletools.calendar.pro.activities.MainActivity
com.simplemobiletools.calendar.pro.activities.SplashActivity -> com.simplemobiletools.calendar.pro.activities.MainActivity
com.simplemobiletools.calendar.pro.activities.SplashActivity -> com.simplemobiletools.calendar.pro.activities.EventActivity
com.simplemobiletools.calendar.pro.activities.SplashActivity -> com.simplemobiletools.calendar.pro.activities.MainActivity
com.simplemobiletools.calendar.pro.activities.SplashActivity -> com.simplemobiletools.calendar.pro.activities.TaskActivity

com.simplemobiletools.calendar.pro.activities.SettingsActivity -> com.simplemobiletools.calendar.pro.activities.ManageEventTypesActivity
com.simplemobiletools.calendar.pro.activities.SettingsActivity -> com.simplemobiletools.calendar.pro.activities.WidgetListConfigureActivity

com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity
com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider -> com.simplemobiletools.calendar.pro.services.WidgetServiceEmpty
com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider -> com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider
com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider -> com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider
com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider -> com.simplemobiletools.calendar.pro.services.WidgetService
com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity

com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider
com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity

com.simplemobiletools.calendar.pro.activities.MainActivity -> com.simplemobiletools.calendar.pro.activities.EventActivity
com.simplemobiletools.calendar.pro.activities.MainActivity -> com.simplemobiletools.calendar.pro.activities.EventActivity
com.simplemobiletools.calendar.pro.activities.MainActivity -> com.simplemobiletools.calendar.pro.activities.TaskActivity
com.simplemobiletools.calendar.pro.activities.MainActivity -> com.simplemobiletools.calendar.pro.activities.SettingsActivity
com.simplemobiletools.calendar.pro.activities.MainActivity -> com.simplemobiletools.calendar.pro.activities.EventActivity

com.simplemobiletools.calendar.pro.activities.TaskActivity -> com.simplemobiletools.calendar.pro.activities.TaskActivity

com.simplemobiletools.commons.activities.AboutActivity -> com.simplemobiletools.commons.activities.LicenseActivity
com.simplemobiletools.commons.activities.AboutActivity -> com.simplemobiletools.commons.activities.FAQActivity
com.simplemobiletools.commons.activities.AboutActivity -> com.simplemobiletools.commons.activities.ContributorsActivity

com.simplemobiletools.calendar.pro.activities.WidgetMonthlyConfigureActivity -> com.simplemobiletools.calendar.pro.helpers.MyWidgetMonthlyProvider

com.simplemobiletools.calendar.pro.activities.EventActivity -> com.simplemobiletools.calendar.pro.activities.SelectTimeZoneActivity
com.simplemobiletools.calendar.pro.activities.EventActivity -> com.simplemobiletools.calendar.pro.activities.EventActivity

com.simplemobiletools.calendar.pro.helpers.MyWidgetDateProvider -> com.simplemobiletools.calendar.pro.activities.SplashActivity

com.simplemobiletools.commons.activities.CustomizationActivity -> com.simplemobiletools.commons.receivers.SharedThemeReceiver
com.simplemobiletools.commons.activities.CustomizationActivity -> com.simplemobiletools.commons.receivers.SharedThemeReceiver

com.simplemobiletools.calendar.pro.activities.WidgetListConfigureActivity -> com.simplemobiletools.calendar.pro.helpers.MyWidgetListProvider

