
org.videolan.vlc.gui.onboarding.OnboardingActivityKt -> org.videolan.vlc.gui.onboarding.OnboardingActivity

org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.dialogs.ConfirmDeleteDialog
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.browser.FileBrowserFragment
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.DialogActivity
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.dialogs.SubtitleDownloaderDialogFragment
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.moviepedia.ui.MoviepediaActivity
org.videolan.vlc.gui.browser.FileBrowserFragment -> org.videolan.vlc.gui.dialogs.SavePlaylistDialog

org.videolan.vlc.gui.preferences.PreferencesCasting -> org.videolan.vlc.gui.preferences.hack.MultiSelectListPreferenceDialogFragmentCompat
org.videolan.vlc.gui.preferences.PreferencesCasting -> org.videolan.vlc.gui.view.NumberPickerPreferenceDialog

org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> com.android.tv.settings.connectivity.NetworkActivity
org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> org.videolan.television.ui.SearchActivity
org.videolan.television.ui.browser.VerticalGridActivity -> org.videolan.vlc.interfaces.BrowserFragmentInterface
org.videolan.television.ui.browser.VerticalGridActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.VerticalGridActivity -> org.videolan.vlc.gui.DialogActivity

org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.TVActivity -> org.videolan.vlc.gui.DialogActivity
org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.browser.TVActivity -> org.videolan.television.ui.SearchActivity
org.videolan.television.ui.browser.TVActivity -> androidx.fragment.app.Fragment
org.videolan.television.ui.browser.TVActivity -> com.android.tv.settings.connectivity.NetworkActivity
org.videolan.television.ui.browser.TVActivity -> interICC_android.settings.SETTINGS, 

org.videolan.vlc.gui.dialogs.LicenseDialog -> interICC_android.intent.action.VIEW, 
org.videolan.vlc.gui.dialogs.LicenseDialog -> interICC_android.intent.action.VIEW, 
org.videolan.vlc.gui.dialogs.LicenseDialog -> interICC_android.intent.action.VIEW, 

org.videolan.vlc.databinding.AudioPlayerBindingImpl -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.databinding.AudioPlayerBindingImpl -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.databinding.AudioPlayerBindingImpl -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 

org.videolan.vlc.TvReceiver -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.TvReceiver -> org.videolan.vlc.RecommendationsService
org.videolan.vlc.TvReceiver -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.TvReceiver -> org.videolan.vlc.gui.dialogs.RenderersDialog
org.videolan.vlc.TvReceiver -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.TvReceiver -> org.videolan.vlc.gui.dialogs.SleepTimerDialog
org.videolan.vlc.TvReceiver -> org.videolan.vlc.gui.dialogs.PlaybackSpeedDialog

org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.preferences.PreferencesActivity -> com.android.tv.settings.connectivity.NetworkActivity
org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 
org.videolan.television.ui.preferences.PreferencesActivity -> org.videolan.vlc.gui.DialogActivity
org.videolan.television.ui.preferences.PreferencesActivity -> org.videolan.television.ui.SearchActivity
org.videolan.television.ui.preferences.PreferencesActivity -> interICC_android.settings.SETTINGS, 

org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesSubtitles
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesAdvanced
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.dialogs.ConfirmAudioPlayQueueDialog
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesVideo
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.hack.MultiSelectListPreferenceDialogFragmentCompat
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesCasting
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesUi
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesExtensions
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.view.NumberPickerPreferenceDialog
org.videolan.vlc.gui.preferences.PreferencesFragment -> org.videolan.vlc.gui.preferences.PreferencesAudio

org.videolan.vlc.gui.AboutFragment -> org.videolan.vlc.gui.AuthorsActivity
org.videolan.vlc.gui.AboutFragment -> org.videolan.vlc.gui.dialogs.LicenseDialog
org.videolan.vlc.gui.AboutFragment -> org.videolan.vlc.gui.LibrariesActivity
org.videolan.vlc.gui.AboutFragment -> interICC_android.intent.action.VIEW, 
org.videolan.vlc.gui.AboutFragment -> interICC_android.intent.action.VIEW, 
org.videolan.vlc.gui.AboutFragment -> interICC_android.intent.action.VIEW, 
org.videolan.vlc.gui.AboutFragment -> org.videolan.vlc.gui.dialogs.AboutVersionDialog
org.videolan.vlc.gui.AboutFragment -> org.videolan.vlc.gui.InfoActivity

org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.moviepedia.ui.MoviepediaActivity
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.dialogs.RenameDialog
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.dialogs.SavePlaylistDialog
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.dialogs.ContextSheet
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.dialogs.SubtitleDownloaderDialogFragment
org.videolan.vlc.gui.video.VideoGridFragment -> interICC_android.intent.action.SEND, 
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.DialogActivity
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.dialogs.AddToGroupDialog
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.dialogs.ConfirmDeleteDialog
org.videolan.vlc.gui.video.VideoGridFragment -> org.videolan.vlc.gui.SecondaryActivity

org.videolan.vlc.gui.helpers.hf.OtgAccess -> interICC_android.intent.action.OPEN_DOCUMENT_TREE, 

org.videolan.vlc.gui.LibrariesActivity -> org.videolan.vlc.gui.dialogs.LicenseDialog

org.videolan.vlc.gui.network.StreamsFragmentDelegate -> org.videolan.vlc.gui.dialogs.SavePlaylistDialog
org.videolan.vlc.gui.network.StreamsFragmentDelegate -> org.videolan.vlc.gui.video.VideoPlayerActivity
